Tue Mar 28 21:19:16 EDT 2017 |  coup M : d8d4
Tue Mar 28 21:20:12 EDT 2017 |  coup(joue) H : b2a3
Tue Mar 28 21:20:12 EDT 2017 |  coup(inscrit) H : b2a3
Tue Mar 28 21:20:12 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:21:16 EDT 2017 |  coup(joue) H : b2a3
Tue Mar 28 21:21:16 EDT 2017 |  coup(inscrit) H : b2a3
Tue Mar 28 21:21:16 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:22:16 EDT 2017 |  coup(joue) H : b2a3
Tue Mar 28 21:22:16 EDT 2017 |  coup(inscrit) H : b2a3
Tue Mar 28 21:22:16 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:30:37 EDT 2017 |  coup(joue) H : b2a3
Tue Mar 28 21:30:37 EDT 2017 |  coup(inscrit) H : b2a3
Tue Mar 28 21:30:37 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:31:15 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:31:15 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:31:15 EDT 2017 |  coup M : f6e4
Tue Mar 28 21:31:48 EDT 2017 |  coup(joue) H : a1a5
Tue Mar 28 21:31:48 EDT 2017 |  coup(inscrit) H : a1a5
Tue Mar 28 21:31:48 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:32:36 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:32:36 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:32:36 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:33:02 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:33:02 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:33:02 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:33:23 EDT 2017 |  coup(joue) H : a1a4
Tue Mar 28 21:33:23 EDT 2017 |  coup(inscrit) H : a1a4
Tue Mar 28 21:33:23 EDT 2017 |  coup M : g8f6
Tue Mar 28 21:34:09 EDT 2017 |  coup(joue) H : a1a5
Tue Mar 28 21:34:09 EDT 2017 |  coup(inscrit) H : a1a5
